Modelo,RMSE,MAE,MAPE,sMAPE,WAPE,nRMSE,MASE,R2
Random Forest,0.7161,0.5847,120.74,63.79,63.1,77.28,0.9403,-0.0958
XGBoost,0.7097,0.589,122.62,65.03,63.57,76.6,0.9473,-0.0764
SVR,0.8851,0.6895,119.53,83.09,74.41,95.52,1.1089,-0.6739
Persistencia,0.8577,0.6218,98.38,64.31,67.11,92.56,,-0.5719
Regresión Lineal,0.6815,0.587,117.8,66.18,63.35,73.55,0.9441,0.0076
