Modelo,RMSE,MAE,MAPE,sMAPE,WAPE,nRMSE,MASE,R2
Random Forest,0.5537,0.4344,69.82,49.51,46.95,59.85,0.8696,0.196
XGBoost,0.5489,0.4268,67.55,48.71,46.13,59.33,0.8545,0.21
SVR,0.6105,0.454,65.5,51.87,49.07,65.99,0.9089,0.0228
Persistencia,0.6936,0.4995,73.25,53.33,53.99,74.97,,-0.2615
Regresión Lineal,0.5536,0.4385,69.25,50.21,47.39,59.84,0.8778,0.1964
