Modelo,RMSE,MAE,MAPE,sMAPE,WAPE,nRMSE,MASE,R2
Random Forest,0.1809,0.1389,17.97,16.65,15.71,20.45,0.7278,0.4354
XGBoost,0.185,0.1447,18.68,17.45,16.35,20.92,0.7577,0.4092
SVR,0.2235,0.1758,22.31,21.51,19.88,25.26,0.9211,0.1382
Persistencia,0.2552,0.1909,24.06,22.63,21.58,28.85,,-0.124
Regresión Lineal,0.195,0.1507,20.51,18.35,17.04,22.05,0.7896,0.3437
